,zoneName,address,latitude,longitude,서울특별시,세종특별자치시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,경기도,강원도,경상남도,경상북도,전라남도,전라북도,충청남도,충청북도,제주특별자치도,중랑구,중구,종로구,은평구,용산구,영등포구,양천구,송파구,성북구,성동구,서초구,서대문구,마포구,동작구,동대문구,도봉구,노원구,금천구,구로구,광진구,관악구,강서구,강북구,강동구,강남구,수원시,고양시,화성시,성남시,용인시,부천시,안양시,시흥시,춘천시,강릉시,원주시,창원시,김해시,포항시,경주시,여수시,순천시,목포시,전주시,군산시,익산시,천안시,아산시,청주시,충주시,기타 경기도 지역,기타 강원도 지역,기타 경상남도 지역,기타 경상북도 지역,기타 전라남도 지역,기타 전라북도 지역,기타 충청남도 지역,기타 충청북도 지역,cluster,core,radius,polygon
1,울산시외버스터미널 뒤,울산 남구 달동 1301-11,35.536,129.338,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,True,inf,"[[nan, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf]]"
2,서부여성회관 옆,인천시 서구 서달로 16,37.5,126.679,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,True,inf,"[[nan, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf]]"
4,평거휴먼시아3단지 옆,경남 진주시 남강로309번길 44,35.171,128.061,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,True,2.1027218188871264,"[[128.061, 35.17101891023162], [128.0610029582562, 35.17101875497889], [128.06100586793792, 35.17101829176991], [128.06100868126828, 35.171017528210584], [128.06101135205242, 35.17101647683852], [128.06101383643616, 35.171015154917214], [128.06101609362602, 35.1710135841526], [128.06101808655902, 35.17101179033657], [128.06101978251118, 35.171009802923535], [128.06102115363507, 35.17100765454678], [128.06102217741685, 35.17100538048257], [128.06102283704607, 35.171003018070984], [128.06102312169162, 35.17100060610276], [128.0610230266796, 35.17099818418234], [128.06102255357015, 35.17099579207759], [128.06102171013174, 35.17099346906682], [128.06102051021355, 35.17099125329379], [128.06101897351823, 35.17098918114144], [128.06101712527823, 35.17098728663444], [128.06101499584165, 35.17098560088055], [128.06101262017378, 35.17098415155981], [128.06101003728298, 35.17098296247001], [128.06100728958032, 35.170982053135994], [128.06100442218292, 35.17098143848899], [128.0610014821734, 35.17098112862146], [128.06099851782662, 35.17098112862146], [128.0609955778171, 35.17098143848899], [128.06099271041973, 35.170982053135994], [128.06098996271703, 35.17098296247001], [128.06098737982623, 35.17098415155981], [128.06098500415837, 35.17098560088055], [128.0609828747218, 35.17098728663444], [128.06098102648178, 35.17098918114144], [128.06097948978646, 35.17099125329379], [128.06097828986827, 35.17099346906682], [128.06097744642986, 35.17099579207759], [128.0609769733204, 35.17099818418234], [128.06097687830842, 35.17100060610276], [128.06097716295395, 35.171003018070984], [128.06097782258317, 35.17100538048257], [128.06097884636497, 35.17100765454678], [128.06098021748883, 35.171009802923535], [128.06098191344103, 35.17101179033657], [128.060983906374, 35.1710135841526], [128.06098616356385, 35.171015154917214], [128.0609886479476, 35.17101647683852], [128.06099131873177, 35.171017528210584], [128.0609941320621, 35.17101829176991], [128.0609970417438, 35.17101875497889], [128.061, 35.17101891023162]]"
6,낫개역 2번출구,부산 사하구 다대로 443,35.064,128.98,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,True,4.099499589044606,"[[128.98, 35.064036867685545], [128.98000575989312, 35.064036565002354], [128.98001142520897, 35.06403566192284], [128.9800169029232, 35.06403417327554], [128.98002210309193, 35.064032123503985], [128.98002694032846, 35.0640295462654], [128.98003133520555, 35.06402648387795], [128.98003521555944, 35.06402298662596], [128.98003851767484, 35.0640191119342], [128.98004118733107, 35.064014923425006], [128.98004318069243, 35.06401048987359], [128.98004446502804, 35.064005884078746], [128.9800450192491, 35.06400118166749], [128.98004483425535, 35.06399645985328], [128.9800439130844, 35.06399179616818], [128.98004227086176, 35.06398726718978], [128.98003993455276, 35.06398294728377], [128.9800369425195, 35.06397890738289], [128.9800333438911, 35.0639752138222], [128.98002919775695, 35.06397192724986], [128.9800245721964, 35.0639691016313], [128.9800195431611, 35.0639667833631], [128.9800141932276, 35.06396501051117], [128.98000861024173, 35.06396381218566], [128.9800028858759, 35.06396320806308], [128.97999711412407, 35.06396320806308], [128.97999138975825, 35.06396381218566], [128.9799858067724, 35.06396501051117], [128.9799804568389, 35.0639667833631], [128.9799754278036, 35.0639691016313], [128.97997080224303, 35.06397192724986], [128.97996665610887, 35.0639752138222], [128.9799630574805, 35.06397890738289], [128.97996006544722, 35.06398294728377], [128.97995772913822, 35.06398726718978], [128.9799560869156, 35.06399179616818], [128.97995516574463, 35.06399645985328], [128.97995498075088, 35.06400118166749], [128.97995553497194, 35.064005884078746], [128.97995681930755, 35.06401048987359], [128.9799588126689, 35.064014923425006], [128.97996148232517, 35.0640191119342], [128.97996478444054, 35.06402298662596], [128.97996866479443, 35.06402648387795], [128.97997305967152, 35.0640295462654], [128.97997789690805, 35.064032123503985], [128.97998309707677, 35.06403417327554], [128.979988574791, 35.06403566192284], [128.97999424010686, 35.064036565002354], [128.98, 35.064036867685545]]"
7,한양대학교 행복관C,경기도 안산시 상록구 한양대학로 55(사동),37.293,126.836,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,42,True,2.6501888216835745,"[[126.83600000000001, 37.293023833720675], [126.8360038310579, 37.29302363804615], [126.83600759920989, 37.29302305423557], [126.83601124258307, 37.29302209187508], [126.83601470135336, 37.29302076676661], [126.83601791872785, 37.2930191006684], [126.83602084187729, 37.293017120937755], [126.8360234228037, 37.293014860081776], [126.83602561912834, 37.29301235522367], [126.83602739478756, 37.293009647493136], [126.83602872062514, 37.293006781351025], [126.83602957487085, 37.29300380385932], [126.836029943498, 37.293000763908346], [126.83602982045377, 37.292997711414024], [126.83602920775849, 37.29299469649822], [126.8360281154726, 37.292991768665765], [126.83602656153147, 37.29298897599159], [126.8360245714507, 37.292986364331334], [126.8360221779074, 37.29298397656838], [126.83601942020347, 37.29298185190972], [126.83601634362033, 37.29298002524221], [126.8360129986754, 37.29297852655967], [126.83600944029257, 37.292977380470425], [126.83600572690041, 37.29297660579323], [126.8360019194727, 37.29297621524827], [126.83599808052732, 37.29297621524827], [126.83599427309962, 37.29297660579323], [126.83599055970744, 37.292977380470425], [126.83598700132463, 37.29297852655967], [126.83598365637968, 37.29298002524221], [126.83598057979655, 37.29298185190972], [126.83597782209262, 37.29298397656838], [126.83597542854932, 37.292986364331334], [126.83597343846854, 37.29298897599159], [126.83597188452742, 37.292991768665765], [126.83597079224154, 37.29299469649822], [126.83597017954625, 37.292997711414024], [126.835970056502, 37.293000763908346], [126.83597042512916, 37.29300380385932], [126.83597127937487, 37.293006781351025], [126.83597260521246, 37.293009647493136], [126.83597438087169, 37.29301235522367], [126.83597657719632, 37.293014860081776], [126.83597915812273, 37.293017120937755], [126.83598208127216, 37.2930191006684], [126.83598529864665, 37.29302076676661], [126.83598875741694, 37.29302209187508], [126.83599240079012, 37.29302305423557], [126.83599616894213, 37.29302363804615], [126.83600000000001, 37.293023833720675]]"
8,롯데마트 상록점,경기도 안산시 상록구 반석로 20(본오동),37.297,126.861,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,42,True,inf,"[[nan, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf]]"
9,당리역 2번출구,부산 사하구 하단동 80,35.103,128.97,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,True,6.280278903562298,"[[128.97, 35.10305647990509], [128.97000882815897, 35.103056016205855], [128.97001751135977, 35.10305463272206], [128.97002590702456, 35.10305235217049], [128.97003387729671, 35.103049211997714], [128.97004129130463, 35.1030452637653], [128.9700480273104, 35.10304057230312], [128.97005397470912, 35.103035214644834], [128.97005903584457, 35.10302927876307], [128.97006312761312, 35.1030228621248], [128.97006618282796, 35.103016070091094], [128.97006815132264, 35.10300901418693], [128.97006900077446, 35.103001810270065], [128.97006871723548, 35.10299457662862], [128.9700673053614, 35.10298743203877], [128.97006478833512, 35.10298049381451], [128.9700612074862, 35.10297387588127], [128.97005662161203, 35.10296768690534], [128.97005110601256, 35.10296202850953], [128.97004475125377, 35.102956993604536], [128.97003766168064, 35.10295266486338], [128.97002995370374, 35.102949113363856], [128.97002175388786, 35.10294639742148], [128.97001319687377, 35.10294456163197], [128.97000442316732, 35.10294363613893], [128.96999557683264, 35.10294363613893], [128.96998680312623, 35.10294456163197], [128.9699782461121, 35.10294639742148], [128.96997004629623, 35.102949113363856], [128.96996233831936, 35.10295266486338], [128.9699552487462, 35.102956993604536], [128.96994889398744, 35.10296202850953], [128.96994337838797, 35.10296768690534], [128.9699387925138, 35.10297387588127], [128.96993521166485, 35.10298049381451], [128.9699326946386, 35.10298743203877], [128.96993128276452, 35.10299457662862], [128.9699309992255, 35.103001810270065], [128.96993184867736, 35.10300901418693], [128.969933817172, 35.103016070091094], [128.96993687238688, 35.1030228621248], [128.96994096415543, 35.10302927876307], [128.96994602529085, 35.103035214644834], [128.96995197268959, 35.10304057230312], [128.96995870869537, 35.1030452637653], [128.96996612270325, 35.103049211997714], [128.9699740929754, 35.10305235217049], [128.96998248864023, 35.10305463272206], [128.96999117184103, 35.103056016205855], [128.97, 35.10305647990509]]"
10,소사역 1번출구,경기 부천시 소사구 경인로 349,37.483,126.795,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,True,inf,"[[nan, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf]]"
11,부원역 2번출구,경남 김해시 김해대로2371번길 11,35.228,128.886,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,True,inf,"[[nan, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf]]"
12,전북도청 앞,전북 전주시 완산구 효자동3가 1528-14,35.818,127.109,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,True,inf,"[[nan, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, -inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf], [-inf, inf]]"
